,tweet,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
0, dan  jawaban nya min mainnakerpresidensiggindonesiaewgindonesia,"['dan', 'jawaban', 'nya', 'min', 'mainnakerpresidensiggindonesiaewgindonesia']","['min', 'mainnakerpresidensiggindonesiaewgindonesia']","['min', 'mainnakerpresidensiggindonesiaewgindonesia']"
1,ayo siapa yang takut amerika rusia ketemuan di bali gindonesia hebatnya bu da,"['ayo', 'siapa', 'yang', 'takut', 'amerika', 'rusia', 'ketemuan', 'di', 'bali', 'gindonesia', 'hebatnya', 'bu', 'da']","['ayo', 'takut', 'amerika', 'rusia', 'ketemuan', 'bali', 'gindonesia', 'hebatnya', 'bu', 'da']","['ayo', 'takut', 'amerika', 'rusia', 'ketemu', 'bal', 'gindonesia', 'hebat', 'bu', 'da']"
2,gerakan nasional literasi digital digital talent scholarship digital leadership academy program kartu prakerjalpsi,"['gerakan', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']","['gerakan', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']","['gera', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']"
3,indonesia indonesiajuara indonesiahebatindonesiadamai,"['indonesia', 'indonesiajuara', 'indonesiahebatindonesiadamai']","['indonesia', 'indonesiajuara', 'indonesiahebatindonesiadamai']","['indonesia', 'indonesiajuara', 'indonesiahebatindonesiadamai']"
4,keren bangetmas memtri dengan program merdeka belajarnyagindonesia presidensiindonesia,"['keren', 'bangetmas', 'memtri', 'dengan', 'program', 'merdeka', 'belajarnyagindonesia', 'presidensiindonesia']","['keren', 'bangetmas', 'memtri', 'program', 'merdeka', 'belajarnyagindonesia', 'presidensiindonesia']","['keren', 'bangetmas', 'memtri', 'program', 'merdeka', 'belajarnyagindonesia', 'presidensiindonesia']"
5,konsumen konsumen industri dan rumah tangga perlu segera diberdayakan menjadi koperasi koperasi,"['konsumen', 'konsumen', 'industri', 'dan', 'rumah', 'tangga', 'perlu', 'segera', 'diberdayakan', 'menjadi', 'koperasi', 'koperasi']","['konsumen', 'konsumen', 'industri', 'rumah', 'tangga', 'diberdayakan', 'koperasi', 'koperasi']","['konsumen', 'konsumen', 'industri', 'rumah', 'tangga', 'daya', 'koperasi', 'koperasi']"
6,lapor pak bisanya cewe sekarang bego bencong joget malah disuka mendingan pada doa perang mau ,"['lapor', 'pak', 'bisanya', 'cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'disuka', 'mendingan', 'pada', 'doa', 'perang', 'mau']","['lapor', 'bisanya', 'cewe', 'bego', 'bencong', 'joget', 'disuka', 'mendingan', 'doa', 'perang']","['lapor', 'bisa', 'cewe', 'bego', 'bencong', 'joget', 'suka', 'mending', 'doa', 'perang']"
7,pak yth kami perencana koperasi memastikan bahwa core values bagi ,"['pak', 'yth', 'kami', 'perencana', 'koperasi', 'memastikan', 'bahwa', 'core', 'values', 'bagi']","['yth', 'perencana', 'koperasi', 'core', 'values']","['yth', 'rencana', 'koperasi', 'core', 'values']"
8,sepertinya di bali saat gindonesiaakan ada keputusan dari yang bisa,"['sepertinya', 'di', 'bali', 'saat', 'gindonesiaakan', 'ada', 'keputusan', 'dari', 'yang', 'bisa']","['bali', 'gindonesiaakan', 'keputusan']","['bal', 'gindonesiaakan', 'putus']"
9,cewe ga jelas bencong joget malah diteriakin mendingan pada doa perang mau datang di event  di,"['cewe', 'ga', 'jelas', 'bencong', 'joget', 'malah', 'diteriakin', 'mendingan', 'pada', 'doa', 'perang', 'mau', 'datang', 'di', 'event', 'di']","['cewe', 'bencong', 'joget', 'diteriakin', 'mendingan', 'doa', 'perang', 'event']","['cewe', 'bencong', 'joget', 'diteriakin', 'mending', 'doa', 'perang', 'event']"
10,cewe sekarang bego bencong joget malah disuka mendingan pada doa perang mau datang di event ,"['cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'disuka', 'mendingan', 'pada', 'doa', 'perang', 'mau', 'datang', 'di', 'event']","['cewe', 'bego', 'bencong', 'joget', 'disuka', 'mendingan', 'doa', 'perang', 'event']","['cewe', 'bego', 'bencong', 'joget', 'suka', 'mending', 'doa', 'perang', 'event']"
11,cewe sekarang bego bencong joget malah ditonton ya mendingan pada doa perang mau datang di event,"['cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'ditonton', 'ya', 'mendingan', 'pada', 'doa', 'perang', 'mau', 'datang', 'di', 'event']","['cewe', 'bego', 'bencong', 'joget', 'ditonton', 'mendingan', 'doa', 'perang', 'event']","['cewe', 'bego', 'bencong', 'joget', 'tonton', 'mending', 'doa', 'perang', 'event']"
12,gila bencong nari ditonton pikirin tuh ancaman mau datang di event  di bali indonesia akan,"['gila', 'bencong', 'nari', 'ditonton', 'pikirin', 'tuh', 'ancaman', 'mau', 'datang', 'di', 'event', 'di', 'bali', 'indonesia', 'akan']","['gila', 'bencong', 'nari', 'ditonton', 'pikirin', 'ancaman', 'event', 'bali', 'indonesia']","['gila', 'bencong', 'nari', 'tonton', 'pikirin', 'ancam', 'event', 'bal', 'indonesia']"
13,gila lo ga usah bahas perang rusia ukraina di  formula  urusan bang mending lo nonton,"['gila', 'lo', 'ga', 'usah', 'bahas', 'perang', 'rusia', 'ukraina', 'di', 'formula', 'urusan', 'bang', 'mending', 'lo', 'nonton']","['gila', 'lo', 'bahas', 'perang', 'rusia', 'ukraina', 'formula', 'urusan', 'bang', 'mending', 'lo', 'nonton']","['gila', 'lo', 'bahas', 'perang', 'rusia', 'ukraina', 'formula', 'urus', 'bang', 'mending', 'lo', 'nonton']"
14,jika amerika adalah negara besara dan negara yang pro perdamaian maka amerika akan datang gindonesia,"['jika', 'amerika', 'adalah', 'negara', 'besara', 'dan', 'negara', 'yang', 'pro', 'perdamaian', 'maka', 'amerika', 'akan', 'datang', 'gindonesia']","['amerika', 'negara', 'besara', 'negara', 'pro', 'perdamaian', 'amerika', 'gindonesia']","['amerika', 'negara', 'besara', 'negara', 'pro', 'damai', 'amerika', 'gindonesia']"
15,joget kaya bencong aja banyak yg nonton org indo harusnya mikir ancaman lebih besar mau datang di event,"['joget', 'kaya', 'bencong', 'aja', 'banyak', 'yg', 'nonton', 'org', 'indo', 'harusnya', 'mikir', 'ancaman', 'lebih', 'besar', 'mau', 'datang', 'di', 'event']","['joget', 'kaya', 'bencong', 'nonton', 'org', 'indo', 'mikir', 'ancaman', 'event']","['joget', 'kaya', 'bencong', 'nonton', 'org', 'indo', 'mikir', 'ancam', 'event']"
16,kesel lah gw masa isi twitter bencong joget semua pada ga mikir apa indonesia ,"['kesel', 'lah', 'gw', 'masa', 'isi', 'twitter', 'bencong', 'joget', 'semua', 'pada', 'ga', 'mikir', 'apa', 'indonesia']","['kesel', 'gw', 'isi', 'twitter', 'bencong', 'joget', 'mikir', 'indonesia']","['kesel', 'gw', 'isi', 'twitter', 'bencong', 'joget', 'mikir', 'indonesia']"
17,menetapkan kota bandung jawa barat sebagai lokasi penyelenggaraan pertemuan kedua kelompok kerja pen,"['menetapkan', 'kota', 'bandung', 'jawa', 'barat', 'sebagai', 'lokasi', 'penyelenggaraan', 'pertemuan', 'kedua', 'kelompok', 'kerja', 'pen']","['menetapkan', 'kota', 'bandung', 'jawa', 'barat', 'lokasi', 'penyelenggaraan', 'pertemuan', 'kelompok', 'kerja']","['tetap', 'kota', 'bandung', 'jawa', 'barat', 'lokasi', 'selenggara', 'temu', 'kelompok', 'kerja']"
18,ngapain lo ngurusin bencong nari pikirin tuh formula  ancaman lebih besar mau datang di event  ,"['ngapain', 'lo', 'ngurusin', 'bencong', 'nari', 'pikirin', 'tuh', 'formula', 'ancaman', 'lebih', 'besar', 'mau', 'datang', 'di', 'event']","['ngapain', 'lo', 'ngurusin', 'bencong', 'nari', 'pikirin', 'formula', 'ancaman', 'event']","['ngapain', 'lo', 'ngurusin', 'bencong', 'nari', 'pikirin', 'formula', 'ancam', 'event']"
19,potensi kekuatan indonesia membangun kerja sama konkret dgn perusahaan besar amerika serikat indonesia berkemban,"['potensi', 'kekuatan', 'indonesia', 'membangun', 'kerja', 'sama', 'konkret', 'dgn', 'perusahaan', 'besar', 'amerika', 'serikat', 'indonesia', 'berkemban']","['potensi', 'kekuatan', 'indonesia', 'membangun', 'kerja', 'konkret', 'perusahaan', 'amerika', 'serikat', 'indonesia', 'berkemban']","['potensi', 'kuat', 'indonesia', 'bangun', 'kerja', 'konkret', 'usaha', 'amerika', 'serikat', 'indonesia', 'kemban']"
20,tidak hanya berupaya mewujudkan transformasi digital di dalam negeri namun juga memperjuangkannya pada,"['tidak', 'hanya', 'berupaya', 'mewujudkan', 'transformasi', 'digital', 'di', 'dalam', 'negeri', 'namun', 'juga', 'memperjuangkannya', 'pada']","['berupaya', 'mewujudkan', 'transformasi', 'digital', 'negeri', 'memperjuangkannya']","['upaya', 'wujud', 'transformasi', 'digital', 'negeri', 'juang']"
21,sedang berlangsungthe  sustainable finance private sector roundtable xd forum ini menjadi tempat berdiskusi tentang,"['sedang', 'berlangsungthe', 'sustainable', 'finance', 'private', 'sector', 'roundtable', 'xd', 'forum', 'ini', 'menjadi', 'tempat', 'berdiskusi', 'tentang']","['berlangsungthe', 'sustainable', 'finance', 'private', 'sector', 'roundtable', 'xd', 'forum', 'berdiskusi']","['berlangsungthe', 'sustainable', 'finance', 'private', 'sector', 'roundtable', 'xd', 'forum', 'diskus']"
22,acara ini jg jadi momentum memperkuat promosi produk umkm lokal yg sejalan dg agenda inklusi keuangan pd presidensi ,"['acara', 'ini', 'jg', 'jadi', 'momentum', 'memperkuat', 'promosi', 'produk', 'umkm', 'lokal', 'yg', 'sejalan', 'dg', 'agenda', 'inklusi', 'keuangan', 'pd', 'presidensi']","['acara', 'jg', 'momentum', 'memperkuat', 'promosi', 'produk', 'umkm', 'lokal', 'sejalan', 'agenda', 'inklusi', 'keuangan', 'pd', 'presidensi']","['acara', 'jg', 'momentum', 'kuat', 'promosi', 'produk', 'umkm', 'lokal', 'jalan', 'agenda', 'inklusi', 'uang', 'pd', 'presidensi']"
23,alhamdulillah pak presiden memastikan bahwa pak elon musk akan hadir di gindonesia di november yang tentu,"['alhamdulillah', 'pak', 'presiden', 'memastikan', 'bahwa', 'pak', 'elon', 'musk', 'akan', 'hadir', 'di', 'gindonesia', 'di', 'november', 'yang', 'tentu']","['alhamdulillah', 'presiden', 'elon', 'musk', 'hadir', 'gindonesia', 'november']","['alhamdulillah', 'presiden', 'elon', 'musk', 'hadir', 'gindonesia', 'november']"
24,alhamdulillah pak presiden memastikan bahwa pak akan hadir di di november yang tentu,"['alhamdulillah', 'pak', 'presiden', 'memastikan', 'bahwa', 'pak', 'akan', 'hadir', 'di', 'di', 'november', 'yang', 'tentu']","['alhamdulillah', 'presiden', 'hadir', 'november']","['alhamdulillah', 'presiden', 'hadir', 'november']"
25,anggota  menyerukan diakhirinya perang sesegera mungkinhal ini disampaikan menkeusmi dalam konferesi pers yang diada,"['anggota', 'menyerukan', 'diakhirinya', 'perang', 'sesegera', 'mungkinhal', 'ini', 'disampaikan', 'menkeusmi', 'dalam', 'konferesi', 'pers', 'yang', 'diada']","['anggota', 'menyerukan', 'perang', 'mungkinhal', 'menkeusmi', 'konferesi', 'pers', 'diada']","['anggota', 'seru', 'perang', 'mungkinhal', 'menkeusmi', 'konferesi', 'pers', 'ada']"
26,women in business action council wibac menggelar pertemuan bilateral dengan menteri koperasi dan ukm republik indo,"['women', 'in', 'business', 'action', 'council', 'wibac', 'menggelar', 'pertemuan', 'bilateral', 'dengan', 'menteri', 'koperasi', 'dan', 'ukm', 'republik', 'indo']","['women', 'business', 'action', 'council', 'wibac', 'menggelar', 'pertemuan', 'bilateral', 'menteri', 'koperasi', 'ukm', 'republik', 'indo']","['women', 'business', 'action', 'council', 'wibac', 'gelar', 'temu', 'bilateral', 'menteri', 'koperasi', 'ukm', 'republik', 'indo']"
27,bagaimana menurut anda tentang rencana renovasi kubah gedung dpr streaming jam di kanal youtube,"['bagaimana', 'menurut', 'anda', 'tentang', 'rencana', 'renovasi', 'kubah', 'gedung', 'dpr', 'streaming', 'jam', 'di', 'kanal', 'youtube']","['rencana', 'renovasi', 'kubah', 'gedung', 'dpr', 'streaming', 'jam', 'kanal', 'youtube']","['rencana', 'renovasi', 'kubah', 'gedung', 'dpr', 'streaming', 'jam', 'kanal', 'youtube']"
28,bahlil mengatakan bahwa presidensi  indonesia merupakan momentum terbaik dalam rangka membangun konsepsi gl,"['bahlil', 'mengatakan', 'bahwa', 'presidensi', 'indonesia', 'merupakan', 'momentum', 'terbaik', 'dalam', 'rangka', 'membangun', 'konsepsi', 'gl']","['bahlil', 'presidensi', 'indonesia', 'momentum', 'terbaik', 'rangka', 'membangun', 'konsepsi', 'gl']","['bahlil', 'presidensi', 'indonesia', 'momentum', 'baik', 'rangka', 'bangun', 'konsepsi', 'gl']"
29,berdasarkan laporan climate bonds initiative penerbitan obligasi hijau green bonds di indonesia baru mencapai us,"['berdasarkan', 'laporan', 'climate', 'bonds', 'initiative', 'penerbitan', 'obligasi', 'hijau', 'green', 'bonds', 'di', 'indonesia', 'baru', 'mencapai', 'us']","['berdasarkan', 'laporan', 'climate', 'bonds', 'initiative', 'penerbitan', 'obligasi', 'hijau', 'green', 'bonds', 'indonesia', 'mencapai', 'us']","['dasar', 'lapor', 'climate', 'bonds', 'initiative', 'terbit', 'obligasi', 'hijau', 'green', 'bonds', 'indonesia', 'capai', 'us']"
30,berita tentang komitmen indonesia terhadap tunisia dalam membuka peningkatan kerjasama dalam berbagai bidang ekonomi,"['berita', 'tentang', 'komitmen', 'indonesia', 'terhadap', 'tunisia', 'dalam', 'membuka', 'peningkatan', 'kerjasama', 'dalam', 'berbagai', 'bidang', 'ekonomi']","['berita', 'komitmen', 'indonesia', 'tunisia', 'membuka', 'peningkatan', 'kerjasama', 'bidang', 'ekonomi']","['berita', 'komitmen', 'indonesia', 'tunisia', 'buka', 'tingkat', 'kerjasama', 'bidang', 'ekonomi']"
31,besok ada turnamen final di arena soalnya ada dr zomboss bakal comebackpvz arena pennyspursuit gindonesia,"['besok', 'ada', 'turnamen', 'final', 'di', 'arena', 'soalnya', 'ada', 'dr', 'zomboss', 'bakal', 'comebackpvz', 'arena', 'pennyspursuit', 'gindonesia']","['besok', 'turnamen', 'final', 'arena', 'dr', 'zomboss', 'comebackpvz', 'arena', 'pennyspursuit', 'gindonesia']","['besok', 'turnamen', 'final', 'arena', 'dr', 'zomboss', 'comebackpvz', 'arena', 'pennyspursuit', 'gindonesia']"
32,bonus demografi ini menjadi kesempatan strategis bagi  untuk melakukan berbagai percepatan pembangunan dengan du,"['bonus', 'demografi', 'ini', 'menjadi', 'kesempatan', 'strategis', 'bagi', 'untuk', 'melakukan', 'berbagai', 'percepatan', 'pembangunan', 'dengan', 'du']","['bonus', 'demografi', 'kesempatan', 'strategis', 'percepatan', 'pembangunan', 'du']","['bonus', 'demografi', 'sempat', 'strategis', 'cepat', 'bangun', 'du']"
33,dewg gindonesia sepakati lima isu krusial di dunia digital,"['dewg', 'gindonesia', 'sepakati', 'lima', 'isu', 'krusial', 'di', 'dunia', 'digital']","['dewg', 'gindonesia', 'sepakati', 'isu', 'krusial', 'dunia', 'digital']","['dewg', 'gindonesia', 'sepakat', 'isu', 'krusial', 'dunia', 'digital']"
34,dalam hal ini ekosistem pendidikan indonesia secara bergotong royong telah melakukan akselerasi transformasi seba,"['dalam', 'hal', 'ini', 'ekosistem', 'pendidikan', 'indonesia', 'secara', 'bergotong', 'royong', 'telah', 'melakukan', 'akselerasi', 'transformasi', 'seba']","['ekosistem', 'pendidikan', 'indonesia', 'bergotong', 'royong', 'akselerasi', 'transformasi', 'seba']","['ekosistem', 'didik', 'indonesia', 'gotong', 'royong', 'akselerasi', 'transformasi', 'seba']"
35,dalam pertemuan tersebut kemendikbudristek akan memperkuat komitmen untuk pulihbersama dalam menciptakan pendidikan ya,"['dalam', 'pertemuan', 'tersebut', 'kemendikbudristek', 'akan', 'memperkuat', 'komitmen', 'untuk', 'pulihbersama', 'dalam', 'menciptakan', 'pendidikan', 'ya']","['pertemuan', 'kemendikbudristek', 'memperkuat', 'komitmen', 'pulihbersama', 'menciptakan', 'pendidikan']","['temu', 'kemendikbudristek', 'kuat', 'komitmen', 'pulihbersama', 'cipta', 'didik']"
36,dalam rangka memperluas diskusi tersebut akan menyelenggarakan kegiatan road to  investment forum dengan topi,"['dalam', 'rangka', 'memperluas', 'diskusi', 'tersebut', 'akan', 'menyelenggarakan', 'kegiatan', 'road', 'to', 'investment', 'forum', 'dengan', 'topi']","['rangka', 'memperluas', 'diskusi', 'menyelenggarakan', 'kegiatan', 'road', 'to', 'investment', 'forum', 'topi']","['rangka', 'luas', 'diskusi', 'selenggara', 'giat', 'road', 'to', 'investment', 'forum', 'topi']"
37,dalam rangka meningkatkan upaya strategis gabungan untuk mempercepat transisi energi mengurangi emisi karbon yang,"['dalam', 'rangka', 'meningkatkan', 'upaya', 'strategis', 'gabungan', 'untuk', 'mempercepat', 'transisi', 'energi', 'mengurangi', 'emisi', 'karbon', 'yang']","['rangka', 'meningkatkan', 'upaya', 'strategis', 'gabungan', 'mempercepat', 'transisi', 'energi', 'mengurangi', 'emisi', 'karbon']","['rangka', 'tingkat', 'upaya', 'strategis', 'gabung', 'cepat', 'transisi', 'energi', 'kurang', 'emisi', 'karbon']"
38,dalam rangka mewujudkan upaya global untuk dapat pulihbersama dan menciptakan pendidikan berkualitas di seluruh dunia,"['dalam', 'rangka', 'mewujudkan', 'upaya', 'global', 'untuk', 'dapat', 'pulihbersama', 'dan', 'menciptakan', 'pendidikan', 'berkualitas', 'di', 'seluruh', 'dunia']","['rangka', 'mewujudkan', 'upaya', 'global', 'pulihbersama', 'menciptakan', 'pendidikan', 'berkualitas', 'dunia']","['rangka', 'wujud', 'upaya', 'global', 'pulihbersama', 'cipta', 'didik', 'kualitas', 'dunia']"
39,delegasi dewg  berupaya atasi kesenjangan digital dengan membahas perangkat untuk mengukur keterampilan dan lite,"['delegasi', 'dewg', 'berupaya', 'atasi', 'kesenjangan', 'digital', 'dengan', 'membahas', 'perangkat', 'untuk', 'mengukur', 'keterampilan', 'dan', 'lite']","['delegasi', 'dewg', 'berupaya', 'atasi', 'kesenjangan', 'digital', 'membahas', 'perangkat', 'mengukur', 'keterampilan', 'lite']","['delegasi', 'dewg', 'upaya', 'atas', 'senjang', 'digital', 'bahas', 'perangkat', 'ukur', 'terampil', 'lite']"
40,demikian mengemuka pada pertemuan nd global partnership for financial inclusion plenary meeting yang diselenggarak,"['demikian', 'mengemuka', 'pada', 'pertemuan', 'nd', 'global', 'partnership', 'for', 'financial', 'inclusion', 'plenary', 'meeting', 'yang', 'diselenggarak']","['mengemuka', 'pertemuan', 'nd', 'global', 'partnership', 'for', 'financial', 'inclusion', 'plenary', 'meeting', 'diselenggarak']","['muka', 'temu', 'nd', 'global', 'partnership', 'for', 'financial', 'inclusion', 'plenary', 'meeting', 'diselenggarak']"
41,di masa kini dana ini berfungsi untuk mendukung ketahanan dan stabilitas ekonomi demi pulihbersama asobat pantau ,"['di', 'masa', 'kini', 'dana', 'ini', 'berfungsi', 'untuk', 'mendukung', 'ketahanan', 'dan', 'stabilitas', 'ekonomi', 'demi', 'pulihbersama', 'asobat', 'pantau']","['dana', 'berfungsi', 'mendukung', 'ketahanan', 'stabilitas', 'ekonomi', 'pulihbersama', 'asobat', 'pantau']","['dana', 'fungsi', 'dukung', 'tahan', 'stabilitas', 'ekonomi', 'pulihbersama', 'asobat', 'pantau']"
42,di tahun penduduk usia produktif tahun di  akan lebih besar dibanding usia nonproduktif,"['di', 'tahun', 'penduduk', 'usia', 'produktif', 'tahun', 'di', 'akan', 'lebih', 'besar', 'dibanding', 'usia', 'nonproduktif']","['penduduk', 'usia', 'produktif', 'dibanding', 'usia', 'nonproduktif']","['duduk', 'usia', 'produktif', 'banding', 'usia', 'nonproduktif']"
43,digitalisasi sektor keuangan merupakan salah satu game changer bagi dunia dalam upaya pulihbersama akibat pandemi covi,"['digitalisasi', 'sektor', 'keuangan', 'merupakan', 'salah', 'satu', 'game', 'changer', 'bagi', 'dunia', 'dalam', 'upaya', 'pulihbersama', 'akibat', 'pandemi', 'covi']","['digitalisasi', 'sektor', 'keuangan', 'salah', 'game', 'changer', 'dunia', 'upaya', 'pulihbersama', 'akibat', 'pandemi', 'covi']","['digitalisasi', 'sektor', 'uang', 'salah', 'game', 'changer', 'dunia', 'upaya', 'pulihbersama', 'akibat', 'pandemi', 'covi']"
44,direktur utama rumah sakit pusat infeksi sulianti saroso dr mohammad syahril resmi menjadi juru bicara kemenkes ,"['direktur', 'utama', 'rumah', 'sakit', 'pusat', 'infeksi', 'sulianti', 'saroso', 'dr', 'mohammad', 'syahril', 'resmi', 'menjadi', 'juru', 'bicara', 'kemenkes']","['direktur', 'utama', 'rumah', 'sakit', 'pusat', 'infeksi', 'sulianti', 'saroso', 'dr', 'mohammad', 'syahril', 'resmi', 'juru', 'bicara', 'kemenkes']","['direktur', 'utama', 'rumah', 'sakit', 'pusat', 'infeksi', 'sulianti', 'saroso', 'dr', 'mohammad', 'syahril', 'resmi', 'juru', 'bicara', 'kemenkes']"
45,dua pencapaian sudah diraih namun masih ada agenda prioritas edwg lainnya yang akan dibahas yaitu solidaritas,"['dua', 'pencapaian', 'sudah', 'diraih', 'namun', 'masih', 'ada', 'agenda', 'prioritas', 'edwg', 'lainnya', 'yang', 'akan', 'dibahas', 'yaitu', 'solidaritas']","['pencapaian', 'diraih', 'agenda', 'prioritas', 'edwg', 'dibahas', 'solidaritas']","['capai', 'raih', 'agenda', 'prioritas', 'edwg', 'bahas', 'solidaritas']"
46,dukungan terhadap umkmgodigitalgoglobal menjadi pembahasan utama kki tahun ini selain itu kegiatan ini juga,"['dukungan', 'terhadap', 'umkmgodigitalgoglobal', 'menjadi', 'pembahasan', 'utama', 'kki', 'tahun', 'ini', 'selain', 'itu', 'kegiatan', 'ini', 'juga']","['dukungan', 'umkmgodigitalgoglobal', 'pembahasan', 'utama', 'kki', 'kegiatan']","['dukung', 'umkmgodigitalgoglobal', 'bahas', 'utama', 'kki', 'giat']"
47,dunia pendidikan mengalami masalah pada dua tahun terakhir pandemi covid salah satu masalah yang menjadi perhat,"['dunia', 'pendidikan', 'mengalami', 'masalah', 'pada', 'dua', 'tahun', 'terakhir', 'pandemi', 'covid', 'salah', 'satu', 'masalah', 'yang', 'menjadi', 'perhat']","['dunia', 'pendidikan', 'mengalami', 'pandemi', 'covid', 'salah', 'perhat']","['dunia', 'didik', 'alami', 'pandemi', 'covid', 'salah', 'perhat']"
48,era indonesia  berjalan dengan bangga dan kepala tegak dihadapan bangsa lain dan tidak tertunduk tapi tegak in,"['era', 'indonesia', 'berjalan', 'dengan', 'bangga', 'dan', 'kepala', 'tegak', 'dihadapan', 'bangsa', 'lain', 'dan', 'tidak', 'tertunduk', 'tapi', 'tegak', 'in']","['era', 'indonesia', 'berjalan', 'bangga', 'kepala', 'tegak', 'dihadapan', 'bangsa', 'tertunduk', 'tegak']","['era', 'indonesia', 'jalan', 'bangga', 'kepala', 'tegak', 'hadap', 'bangsa', 'tunduk', 'tegak']"
49,finalisasi dokumen untuk persidangan pergantian perwalian anak almh farahberita selengkapnya silahkan klik link,"['finalisasi', 'dokumen', 'untuk', 'persidangan', 'pergantian', 'perwalian', 'anak', 'almh', 'farahberita', 'selengkapnya', 'silahkan', 'klik', 'link']","['finalisasi', 'dokumen', 'persidangan', 'pergantian', 'perwalian', 'anak', 'almh', 'farahberita', 'selengkapnya', 'silahkan', 'klik', 'link']","['final', 'dokumen', 'sidang', 'ganti', 'wali', 'anak', 'almh', 'farahberita', 'lengkap', 'silah', 'klik', 'link']"
50, empower gelar plenary meeting kedua di yogyakarta dorong kontribusi peran perempuan,"['empower', 'gelar', 'plenary', 'meeting', 'kedua', 'di', 'yogyakarta', 'dorong', 'kontribusi', 'peran', 'perempuan']","['empower', 'gelar', 'plenary', 'meeting', 'yogyakarta', 'dorong', 'kontribusi', 'peran', 'perempuan']","['empower', 'gelar', 'plenary', 'meeting', 'yogyakarta', 'dorong', 'kontribusi', 'peran', 'perempuan']"
51,hardiknas rutan jeneponto gelar upacara bendera peringati hari pendidikan nasional selengkapnya baca di,"['hardiknas', 'rutan', 'jeneponto', 'gelar', 'upacara', 'bendera', 'peringati', 'hari', 'pendidikan', 'nasional', 'selengkapnya', 'baca', 'di']","['hardiknas', 'rutan', 'jeneponto', 'gelar', 'upacara', 'bendera', 'peringati', 'pendidikan', 'nasional', 'selengkapnya', 'baca']","['hardiknas', 'rutan', 'jeneponto', 'gelar', 'upacara', 'bendera', 'ingat', 'didik', 'nasional', 'lengkap', 'baca']"
52,hai sohisebagai tempat banyak pertemuan konferensi internasional seperti imf world bank serta ktt ,"['hai', 'sohisebagai', 'tempat', 'banyak', 'pertemuan', 'konferensi', 'internasional', 'seperti', 'imf', 'world', 'bank', 'serta', 'ktt']","['hai', 'sohisebagai', 'pertemuan', 'konferensi', 'internasional', 'imf', 'world', 'bank', 'ktt']","['hai', 'sohisebagai', 'temu', 'konferensi', 'internasional', 'imf', 'world', 'bank', 'ktt']"
53,hal ini secara tidak langsung telah mendorong perubahan ukm dari konvensional ke digital dalam hal ini peran teknologi,"['hal', 'ini', 'secara', 'tidak', 'langsung', 'telah', 'mendorong', 'perubahan', 'ukm', 'dari', 'konvensional', 'ke', 'digital', 'dalam', 'hal', 'ini', 'peran', 'teknologi']","['langsung', 'mendorong', 'perubahan', 'ukm', 'konvensional', 'digital', 'peran', 'teknologi']","['langsung', 'dorong', 'ubah', 'ukm', 'konvensional', 'digital', 'peran', 'teknologi']"
