,tweet,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
54,halo sobatkom indonesia resmi memegang presidensi  selama satu tahun penuh artinya akan banyak manfaat serta,"['halo', 'sobatkom', 'indonesia', 'resmi', 'memegang', 'presidensi', 'selama', 'satu', 'tahun', 'penuh', 'artinya', 'akan', 'banyak', 'manfaat', 'serta']","['halo', 'sobatkom', 'indonesia', 'resmi', 'memegang', 'presidensi', 'penuh', 'manfaat']","['halo', 'sobatkom', 'indonesia', 'resmi', 'pegang', 'presidensi', 'penuh', 'manfaat']"
55,halo sobatkom pembentukan  bertujuan untuk mewujudkan pertumbuhan global yang kuat serta berkelanjutan lantas,"['halo', 'sobatkom', 'pembentukan', 'bertujuan', 'untuk', 'mewujudkan', 'pertumbuhan', 'global', 'yang', 'kuat', 'serta', 'berkelanjutan', 'lantas']","['halo', 'sobatkom', 'pembentukan', 'bertujuan', 'mewujudkan', 'pertumbuhan', 'global', 'kuat', 'berkelanjutan', 'lantas']","['halo', 'sobatkom', 'bentuk', 'tuju', 'wujud', 'tumbuh', 'global', 'kuat', 'lanjut', 'lantas']"
56,happy vesak daypray for peace and harmony on this auspicious dayselamat hari raya waisak be tahun,"['happy', 'vesak', 'daypray', 'for', 'peace', 'and', 'harmony', 'on', 'this', 'auspicious', 'dayselamat', 'hari', 'raya', 'waisak', 'be', 'tahun']","['happy', 'vesak', 'daypray', 'for', 'peace', 'and', 'harmony', 'on', 'this', 'auspicious', 'dayselamat', 'raya', 'waisak', 'be']","['happy', 'vesak', 'daypray', 'for', 'peace', 'and', 'harmony', 'on', 'this', 'auspicious', 'dayselamat', 'raya', 'waisak', 'be']"
57,hari ini ada turnamen final di arena karenanya dr zomboss bakal muncul kembalipvz arena pennyspursuit gindonesia,"['hari', 'ini', 'ada', 'turnamen', 'final', 'di', 'arena', 'karenanya', 'dr', 'zomboss', 'bakal', 'muncul', 'kembalipvz', 'arena', 'pennyspursuit', 'gindonesia']","['turnamen', 'final', 'arena', 'dr', 'zomboss', 'muncul', 'kembalipvz', 'arena', 'pennyspursuit', 'gindonesia']","['turnamen', 'final', 'arena', 'dr', 'zomboss', 'muncul', 'kembalipvz', 'arena', 'pennyspursuit', 'gindonesia']"
58,indonesia gpedia mengapa lapangan kerja berkelanjutan jadi agenda penting bagi  di ,"['indonesia', 'gpedia', 'mengapa', 'lapangan', 'kerja', 'berkelanjutan', 'jadi', 'agenda', 'penting', 'bagi', 'di']","['indonesia', 'gpedia', 'lapangan', 'kerja', 'berkelanjutan', 'agenda']","['indonesia', 'gpedia', 'lapang', 'kerja', 'lanjut', 'agenda']"
59,indonesia mempunyai peluang untukrewriting global ev and esg supply chain xd dengan kombinasi sumber daya alam indust,"['indonesia', 'mempunyai', 'peluang', 'untukrewriting', 'global', 'ev', 'and', 'esg', 'supply', 'chain', 'xd', 'dengan', 'kombinasi', 'sumber', 'daya', 'alam', 'indust']","['indonesia', 'peluang', 'untukrewriting', 'global', 'ev', 'and', 'esg', 'supply', 'chain', 'xd', 'kombinasi', 'sumber', 'daya', 'alam', 'indust']","['indonesia', 'peluang', 'untukrewriting', 'global', 'ev', 'and', 'esg', 'supply', 'chain', 'xd', 'kombinasi', 'sumber', 'daya', 'alam', 'indust']"
60,ingin tahu lebih lanjut diskusi dan aspirasi para delegasi negara  dan kemendikbudristek ikuti terus informasi,"['ingin', 'tahu', 'lebih', 'lanjut', 'diskusi', 'dan', 'aspirasi', 'para', 'delegasi', 'negara', 'dan', 'kemendikbudristek', 'ikuti', 'terus', 'informasi']","['diskusi', 'aspirasi', 'delegasi', 'negara', 'kemendikbudristek', 'ikuti', 'informasi']","['diskusi', 'aspirasi', 'delegasi', 'negara', 'kemendikbudristek', 'ikut', 'informasi']"
61,ini merupakan kelanjutan dari kunjungan bersama pak menko luhut binsar pandjaitan dan pak dubes rosan roeslani minggu,"['ini', 'merupakan', 'kelanjutan', 'dari', 'kunjungan', 'bersama', 'pak', 'menko', 'luhut', 'binsar', 'pandjaitan', 'dan', 'pak', 'dubes', 'rosan', 'roeslani', 'minggu']","['kelanjutan', 'kunjungan', 'menko', 'luhut', 'binsar', 'pandjaitan', 'dubes', 'rosan', 'roeslani', 'minggu']","['lanjut', 'kunjung', 'menko', 'luhut', 'binsar', 'pandjaitan', 'dubes', 'ros', 'roeslani', 'minggu']"
62,jadi bagaimana wargi dapat membantu komunitas lokal dalam menghadapi tantangan pemulihan ekonomi dan sosial untuk semua,"['jadi', 'bagaimana', 'wargi', 'dapat', 'membantu', 'komunitas', 'lokal', 'dalam', 'menghadapi', 'tantangan', 'pemulihan', 'ekonomi', 'dan', 'sosial', 'untuk', 'semua']","['wargi', 'membantu', 'komunitas', 'lokal', 'menghadapi', 'tantangan', 'pemulihan', 'ekonomi', 'sosial']","['wargi', 'bantu', 'komunitas', 'lokal', 'hadap', 'tantang', 'pulih', 'ekonomi', 'sosial']"
63,jangan lewatkan kuliah umum peran aktif indonesia dalam  upaya indonesia dalam deeskalasi konflik rusiaukrain,"['jangan', 'lewatkan', 'kuliah', 'umum', 'peran', 'aktif', 'indonesia', 'dalam', 'upaya', 'indonesia', 'dalam', 'deeskalasi', 'konflik', 'rusiaukrain']","['lewatkan', 'kuliah', 'peran', 'aktif', 'indonesia', 'upaya', 'indonesia', 'deeskalasi', 'konflik', 'rusiaukrain']","['lewat', 'kuliah', 'peran', 'aktif', 'indonesia', 'upaya', 'indonesia', 'deeskalasi', 'konflik', 'rusiaukrain']"
64,jokowi effect harga sawit rekor tertinggi sepanjang masa minyakgoreng cpo sawit indonesia  gindonesia,"['jokowi', 'effect', 'harga', 'sawit', 'rekor', 'tertinggi', 'sepanjang', 'masa', 'minyakgoreng', 'cpo', 'sawit', 'indonesia', 'gindonesia']","['jokowi', 'effect', 'harga', 'sawit', 'rekor', 'tertinggi', 'minyakgoreng', 'cpo', 'sawit', 'indonesia', 'gindonesia']","['jokowi', 'effect', 'harga', 'sawit', 'rekor', 'tinggi', 'minyakgoreng', 'cpo', 'sawit', 'indonesia', 'gindonesia']"
65,jubir  maudy ayunda jelaskan fokus utama isu energi gindonesia maudyayunda jernihkanharapan kompascom,"['jubir', 'maudy', 'ayunda', 'jelaskan', 'fokus', 'utama', 'isu', 'energi', 'gindonesia', 'maudyayunda', 'jernihkanharapan', 'kompascom']","['jubir', 'maudy', 'ayunda', 'fokus', 'utama', 'isu', 'energi', 'gindonesia', 'maudyayunda', 'jernihkanharapan', 'kompascom']","['jubir', 'maudy', 'ayunda', 'fokus', 'utama', 'isu', 'energi', 'gindonesia', 'maudyayunda', 'jernihkanharapan', 'kompascom']"
66,karena itu presidensi gindonesia menekankan pentingnya perluasan akses keuangan demi meningkatkan inklusi keuangan,"['karena', 'itu', 'presidensi', 'gindonesia', 'menekankan', 'pentingnya', 'perluasan', 'akses', 'keuangan', 'demi', 'meningkatkan', 'inklusi', 'keuangan']","['presidensi', 'gindonesia', 'menekankan', 'perluasan', 'akses', 'keuangan', 'meningkatkan', 'inklusi', 'keuangan']","['presidensi', 'gindonesia', 'tekan', 'luas', 'akses', 'uang', 'tingkat', 'inklusi', 'uang']"
67,kasihan teman kecil kita sedari kecil terlilit karet gelang plastik tubuhnya pun ikut menyusut tertekuk karet ,"['kasihan', 'teman', 'kecil', 'kita', 'sedari', 'kecil', 'terlilit', 'karet', 'gelang', 'plastik', 'tubuhnya', 'pun', 'ikut', 'menyusut', 'tertekuk', 'karet']","['kasihan', 'teman', 'sedari', 'terlilit', 'karet', 'gelang', 'plastik', 'tubuhnya', 'menyusut', 'tertekuk', 'karet']","['kasihan', 'teman', 'dar', 'lilit', 'karet', 'gelang', 'plastik', 'tubuh', 'susut', 'tekuk', 'karet']"
68,kawal programkerja   untuk kebaikan bangsa dan negara gindonesia sayabersamajokowi ht,"['kawal', 'programkerja', 'untuk', 'kebaikan', 'bangsa', 'dan', 'negara', 'gindonesia', 'sayabersamajokowi', 'ht']","['kawal', 'programkerja', 'kebaikan', 'bangsa', 'negara', 'gindonesia', 'sayabersamajokowi', 'ht']","['kawal', 'programkerja', 'baik', 'bangsa', 'negara', 'gindonesia', 'sayabersamajokowi', 'ht']"
69,keberanian presiden tolak intervensi us tetap undang rusia ukraina di gindonesia jadi sorotan media dunia,"['keberanian', 'presiden', 'tolak', 'intervensi', 'us', 'tetap', 'undang', 'rusia', 'ukraina', 'di', 'gindonesia', 'jadi', 'sorotan', 'media', 'dunia']","['keberanian', 'presiden', 'tolak', 'intervensi', 'us', 'undang', 'rusia', 'ukraina', 'gindonesia', 'sorotan', 'media', 'dunia']","['berani', 'presiden', 'tolak', 'intervensi', 'us', 'undang', 'rusia', 'ukraina', 'gindonesia', 'sorot', 'media', 'dunia']"
70,kegiatan ini akan membahas tantangan serta upaya yang perlu dilakukan dalam memperkuat produktivitas daya saing,"['kegiatan', 'ini', 'akan', 'membahas', 'tantangan', 'serta', 'upaya', 'yang', 'perlu', 'dilakukan', 'dalam', 'memperkuat', 'produktivitas', 'daya', 'saing']","['kegiatan', 'membahas', 'tantangan', 'upaya', 'memperkuat', 'produktivitas', 'daya', 'saing']","['giat', 'bahas', 'tantang', 'upaya', 'kuat', 'produktivitas', 'daya', 'saing']"
71,kemendikbudristek menekankan pentingnya transformasi berbasis gotong royong untuk pemulihan pendidikan ,"['kemendikbudristek', 'menekankan', 'pentingnya', 'transformasi', 'berbasis', 'gotong', 'royong', 'untuk', 'pemulihan', 'pendidikan']","['kemendikbudristek', 'menekankan', 'transformasi', 'berbasis', 'gotong', 'royong', 'pemulihan', 'pendidikan']","['kemendikbudristek', 'tekan', 'transformasi', 'bas', 'gotong', 'royong', 'pulih', 'didik']"
72,kominfo hari ini membuka sidang kedua dewg bagian dari presidensi  indonesia pada sekitar pukul apa saj,"['kominfo', 'hari', 'ini', 'membuka', 'sidang', 'kedua', 'dewg', 'bagian', 'dari', 'presidensi', 'indonesia', 'pada', 'sekitar', 'pukul', 'apa', 'saj']","['kominfo', 'membuka', 'sidang', 'dewg', 'presidensi', 'indonesia', 'saj']","['kominfo', 'buka', 'sidang', 'dewg', 'presidensi', 'indonesia', 'saj']"
73,kuliah umumperan aktif indonesia dalam  upaya indonesia dalam deeskalasi konflik rusiaukraina xd inaugurasi,"['kuliah', 'umumperan', 'aktif', 'indonesia', 'dalam', 'upaya', 'indonesia', 'dalam', 'deeskalasi', 'konflik', 'rusiaukraina', 'xd', 'inaugurasi']","['kuliah', 'umumperan', 'aktif', 'indonesia', 'upaya', 'indonesia', 'deeskalasi', 'konflik', 'rusiaukraina', 'xd', 'inaugurasi']","['kuliah', 'umumperan', 'aktif', 'indonesia', 'upaya', 'indonesia', 'deeskalasi', 'konflik', 'rusiaukraina', 'xd', 'inaugurasi']"
74,lapor pak cewe sekarang bego bencong joget malah disuka padahal perang mau datang di event  di bali ind,"['lapor', 'pak', 'cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'disuka', 'padahal', 'perang', 'mau', 'datang', 'di', 'event', 'di', 'bali', 'ind']","['lapor', 'cewe', 'bego', 'bencong', 'joget', 'disuka', 'perang', 'event', 'bali', 'ind']","['lapor', 'cewe', 'bego', 'bencong', 'joget', 'suka', 'perang', 'event', 'bal', 'ind']"
75,lemhanas siapkan skenario pembahasan ekonomi global di forum ,"['lemhanas', 'siapkan', 'skenario', 'pembahasan', 'ekonomi', 'global', 'di', 'forum']","['lemhanas', 'siapkan', 'skenario', 'pembahasan', 'ekonomi', 'global', 'forum']","['lemhanas', 'siap', 'skenario', 'bahas', 'ekonomi', 'global', 'forum']"
76,main tebaktebakan yuk rekanaker apa isu prioritas yang dibahas dalam employment working group ewg meeting gindon,"['main', 'tebaktebakan', 'yuk', 'rekanaker', 'apa', 'isu', 'prioritas', 'yang', 'dibahas', 'dalam', 'employment', 'working', 'group', 'ewg', 'meeting', 'gindon']","['main', 'tebaktebakan', 'yuk', 'rekanaker', 'isu', 'prioritas', 'dibahas', 'employment', 'working', 'group', 'ewg', 'meeting', 'gindon']","['main', 'tebaktebakan', 'yuk', 'rekanaker', 'isu', 'prioritas', 'bahas', 'employment', 'working', 'group', 'ewg', 'meeting', 'gindon']"
77,mangrove forest area tahura ngurah rai telaga waja benoa bay nusa dua bali recovertogetherrecoverstronger,"['mangrove', 'forest', 'area', 'tahura', 'ngurah', 'rai', 'telaga', 'waja', 'benoa', 'bay', 'nusa', 'dua', 'bali', 'recovertogetherrecoverstronger']","['mangrove', 'forest', 'area', 'tahura', 'ngurah', 'rai', 'telaga', 'waja', 'benoa', 'bay', 'nusa', 'bali', 'recovertogetherrecoverstronger']","['mangrove', 'forest', 'area', 'tahura', 'ngurah', 'rai', 'telaga', 'waja', 'benoa', 'bay', 'nusa', 'bal', 'recovertogetherrecoverstronger']"
78,mantuul makanan tersebut dihidangkan secara menarik khususnya paduan warna sehingga mengundang perhatian para delegasi,"['mantuul', 'makanan', 'tersebut', 'dihidangkan', 'secara', 'menarik', 'khususnya', 'paduan', 'warna', 'sehingga', 'mengundang', 'perhatian', 'para', 'delegasi']","['mantuul', 'makanan', 'dihidangkan', 'menarik', 'paduan', 'warna', 'mengundang', 'perhatian', 'delegasi']","['mantuul', 'makan', 'hidang', 'tarik', 'padu', 'warna', 'undang', 'perhati', 'delegasi']"
79,mari bersama dukung penuh pertemuan  empower untuk menjadikan perempuan sebagai katalisator dalam pembangunan ek,"['mari', 'bersama', 'dukung', 'penuh', 'pertemuan', 'empower', 'untuk', 'menjadikan', 'perempuan', 'sebagai', 'katalisator', 'dalam', 'pembangunan', 'ek']","['mari', 'dukung', 'penuh', 'pertemuan', 'empower', 'menjadikan', 'perempuan', 'katalisator', 'pembangunan', 'ek']","['mari', 'dukung', 'penuh', 'temu', 'empower', 'jadi', 'perempuan', 'katalisator', 'bangun', 'ek']"
80,mari dukung penuh pertemuan  empower untuk menjadikan perempuan sebagai katalisator dalam pembangunan ekonomi dunia,"['mari', 'dukung', 'penuh', 'pertemuan', 'empower', 'untuk', 'menjadikan', 'perempuan', 'sebagai', 'katalisator', 'dalam', 'pembangunan', 'ekonomi', 'dunia']","['mari', 'dukung', 'penuh', 'pertemuan', 'empower', 'menjadikan', 'perempuan', 'katalisator', 'pembangunan', 'ekonomi', 'dunia']","['mari', 'dukung', 'penuh', 'temu', 'empower', 'jadi', 'perempuan', 'katalisator', 'bangun', 'ekonomi', 'dunia']"
81,masalah inklusi keuangan dan transformasi digital ini ternyata memang sangat penting yamaka itu pula topik ini,"['masalah', 'inklusi', 'keuangan', 'dan', 'transformasi', 'digital', 'ini', 'ternyata', 'memang', 'sangat', 'penting', 'yamaka', 'itu', 'pula', 'topik', 'ini']","['inklusi', 'keuangan', 'transformasi', 'digital', 'yamaka', 'topik']","['inklusi', 'uang', 'transformasi', 'digital', 'yamaka', 'topik']"
82,melalui berbagai terobosan merdeka belajar pemulihan pembelajaran dilakukan antara lain dengan menghadirkan kuriku,"['melalui', 'berbagai', 'terobosan', 'merdeka', 'belajar', 'pemulihan', 'pembelajaran', 'dilakukan', 'antara', 'lain', 'dengan', 'menghadirkan', 'kuriku']","['terobosan', 'merdeka', 'belajar', 'pemulihan', 'pembelajaran', 'menghadirkan', 'kuriku']","['terobos', 'merdeka', 'ajar', 'pulih', 'ajar', 'hadir', 'kur']"
83,melanjutkan pertemuan perdana  education working group edwg pada maret lalu kemendikbudristek akan,"['melanjutkan', 'pertemuan', 'perdana', 'education', 'working', 'group', 'edwg', 'pada', 'maret', 'lalu', 'kemendikbudristek', 'akan']","['melanjutkan', 'pertemuan', 'perdana', 'education', 'working', 'group', 'edwg', 'maret', 'kemendikbudristek']","['lanjut', 'temu', 'perdana', 'education', 'working', 'group', 'edwg', 'maret', 'kemendikbudristek']"
84,mendikbud ristek nadiem makarim akan memperkenalkan program merdeka belajar kepada negaranegara  pada hari ini,"['mendikbud', 'ristek', 'nadiem', 'makarim', 'akan', 'memperkenalkan', 'program', 'merdeka', 'belajar', 'kepada', 'negaranegara', 'pada', 'hari', 'ini']","['mendikbud', 'ristek', 'nadiem', 'makarim', 'memperkenalkan', 'program', 'merdeka', 'belajar', 'negaranegara']","['mendikbud', 'ristek', 'nadiem', 'makarim', 'kenal', 'program', 'merdeka', 'ajar', 'negaranegara']"
85,mendikbudristek akan sampaikan berbagai terobosan merdeka belajar dalam pertemuan kedua edwg  gindonesia presiden,"['mendikbudristek', 'akan', 'sampaikan', 'berbagai', 'terobosan', 'merdeka', 'belajar', 'dalam', 'pertemuan', 'kedua', 'edwg', 'gindonesia', 'presiden']","['mendikbudristek', 'terobosan', 'merdeka', 'belajar', 'pertemuan', 'edwg', 'gindonesia', 'presiden']","['mendikbudristek', 'terobos', 'merdeka', 'ajar', 'temu', 'edwg', 'gindonesia', 'presiden']"
86,menindaklanjuti st edmcswg di yogyakarta dan sebelum pertemuan ke yang akan dilaksanakan di jakarta pada tang,"['menindaklanjuti', 'st', 'edmcswg', 'di', 'yogyakarta', 'dan', 'sebelum', 'pertemuan', 'ke', 'yang', 'akan', 'dilaksanakan', 'di', 'jakarta', 'pada', 'tang']","['menindaklanjuti', 'st', 'edmcswg', 'yogyakarta', 'pertemuan', 'dilaksanakan', 'jakarta', 'tang']","['menindaklanjuti', 'st', 'edmcswg', 'yogyakarta', 'temu', 'laksana', 'jakarta', 'tang']"
87,menkominfo johnny  plate mengatakan pemerintah berkoordinasi dengan anggota  lainnya partner lokal dan globa,"['menkominfo', 'johnny', 'plate', 'mengatakan', 'pemerintah', 'berkoordinasi', 'dengan', 'anggota', 'lainnya', 'partner', 'lokal', 'dan', 'globa']","['menkominfo', 'johnny', 'plate', 'pemerintah', 'berkoordinasi', 'anggota', 'partner', 'lokal', 'globa']","['menkominfo', 'johnny', 'plate', 'perintah', 'koordinasi', 'anggota', 'partner', 'lokal', 'globa']"
88,menkominfo berharap agar sidang kedua dewg  ini dapat menghasilkan kesepakatan terbaik dan setiap delegasi memiliki ,"['menkominfo', 'berharap', 'agar', 'sidang', 'kedua', 'dewg', 'ini', 'dapat', 'menghasilkan', 'kesepakatan', 'terbaik', 'dan', 'setiap', 'delegasi', 'memiliki']","['menkominfo', 'berharap', 'sidang', 'dewg', 'menghasilkan', 'kesepakatan', 'terbaik', 'delegasi', 'memiliki']","['menkominfo', 'harap', 'sidang', 'dewg', 'hasil', 'sepakat', 'baik', 'delegasi', 'milik']"
89,menkominfo menjelaskan sidang kedua dewg berjalan dengan baik lancar dan fokus terdapat pemahaman yang saling meleng,"['menkominfo', 'menjelaskan', 'sidang', 'kedua', 'dewg', 'berjalan', 'dengan', 'baik', 'lancar', 'dan', 'fokus', 'terdapat', 'pemahaman', 'yang', 'saling', 'meleng']","['menkominfo', 'sidang', 'dewg', 'berjalan', 'lancar', 'fokus', 'pemahaman', 'meleng']","['menkominfo', 'sidang', 'dewg', 'jalan', 'lancar', 'fokus', 'paham', 'meleng']"
90,menparekraf juga berpesan agar kedepannya kita bisa berkolaborasi membangun pariwisata berkelanjutan yang mengedepa,"['menparekraf', 'juga', 'berpesan', 'agar', 'kedepannya', 'kita', 'bisa', 'berkolaborasi', 'membangun', 'pariwisata', 'berkelanjutan', 'yang', 'mengedepa']","['menparekraf', 'berpesan', 'kedepannya', 'berkolaborasi', 'membangun', 'pariwisata', 'berkelanjutan', 'mengedepa']","['menparekraf', 'pesan', 'depan', 'kolaborasi', 'bangun', 'pariwisata', 'lanjut', 'depa']"
91,menteri keuangan sri mulyani telah melakukan pertemuan kedua finance ministers and central bank governors fmcbg ,"['menteri', 'keuangan', 'sri', 'mulyani', 'telah', 'melakukan', 'pertemuan', 'kedua', 'finance', 'ministers', 'and', 'central', 'bank', 'governors', 'fmcbg']","['menteri', 'keuangan', 'sri', 'mulyani', 'pertemuan', 'finance', 'ministers', 'and', 'central', 'bank', 'governors', 'fmcbg']","['menteri', 'uang', 'sri', 'mulyani', 'temu', 'finance', 'ministers', 'and', 'central', 'bank', 'governors', 'fmcbg']"
92,menteri komunikasi dan informatika johnny  plate menyambut para delegasi negara anggota  yang hadir,"['menteri', 'komunikasi', 'dan', 'informatika', 'johnny', 'plate', 'menyambut', 'para', 'delegasi', 'negara', 'anggota', 'yang', 'hadir']","['menteri', 'komunikasi', 'informatika', 'johnny', 'plate', 'menyambut', 'delegasi', 'negara', 'anggota', 'hadir']","['menteri', 'komunikasi', 'informatika', 'johnny', 'plate', 'sambut', 'delegasi', 'negara', 'anggota', 'hadir']"
93,nah coba tulis harapanmu untuk presidensi  indonesia di kolom komentar ya xgindonesia pulihbersama,"['nah', 'coba', 'tulis', 'harapanmu', 'untuk', 'presidensi', 'indonesia', 'di', 'kolom', 'komentar', 'ya', 'xgindonesia', 'pulihbersama']","['coba', 'tulis', 'harapanmu', 'presidensi', 'indonesia', 'kolom', 'komentar', 'xgindonesia', 'pulihbersama']","['coba', 'tulis', 'harap', 'presidensi', 'indonesia', 'kolom', 'komentar', 'xgindonesia', 'pulihbersama']"
94,narahubung makincakapdigital cfdsbagiilmu eventmahasiswa eventjogja eventonline,"['narahubung', 'makincakapdigital', 'cfdsbagiilmu', 'eventmahasiswa', 'eventjogja', 'eventonline']","['narahubung', 'makincakapdigital', 'cfdsbagiilmu', 'eventmahasiswa', 'eventjogja', 'eventonline']","['narahubung', 'makincakapdigital', 'cfdsbagiilmu', 'eventmahasiswa', 'eventjogja', 'eventonline']"
95,oleh karena itu bekerjasama dengan sinarmas land mengadakan side event dengan temaac,"['oleh', 'karena', 'itu', 'bekerjasama', 'dengan', 'sinarmas', 'land', 'mengadakan', 'side', 'event', 'dengan', 'temaac']","['bekerjasama', 'sinarmas', 'land', 'mengadakan', 'side', 'event', 'temaac']","['bekerjasama', 'sinarmas', 'land', 'ada', 'side', 'event', 'temaac']"
96,one global women empowerment ogwe merupakan sebuah platform yang dirancang untuk memungkinkan pengusaha perempuan didu,"['one', 'global', 'women', 'empowerment', 'ogwe', 'merupakan', 'sebuah', 'platform', 'yang', 'dirancang', 'untuk', 'memungkinkan', 'pengusaha', 'perempuan', 'didu']","['one', 'global', 'women', 'empowerment', 'ogwe', 'platform', 'dirancang', 'pengusaha', 'perempuan', 'didu']","['one', 'global', 'women', 'empowerment', 'ogwe', 'platform', 'rancang', 'usaha', 'perempuan', 'didu']"
97,prakarsa sebagai anggota  memandang perlindungan yang adaptif terhadap pekerja informal harus diperluas penin,"['prakarsa', 'sebagai', 'anggota', 'memandang', 'perlindungan', 'yang', 'adaptif', 'terhadap', 'pekerja', 'informal', 'harus', 'diperluas', 'penin']","['prakarsa', 'anggota', 'memandang', 'perlindungan', 'adaptif', 'pekerja', 'informal', 'diperluas', 'penin']","['prakarsa', 'anggota', 'pandang', 'lindung', 'adaptif', 'kerja', 'informal', 'luas', 'tin']"
98,pada dan telah menyelenggarakan seminar internasional sebagai side event gindonesi,"['pada', 'dan', 'telah', 'menyelenggarakan', 'seminar', 'internasional', 'sebagai', 'side', 'event', 'gindonesi']","['menyelenggarakan', 'seminar', 'internasional', 'side', 'event', 'gindonesi']","['selenggara', 'seminar', 'internasional', 'side', 'event', 'gindonesi']"
99,pada pelaksanaannya mengoordinasikan pembahasan isuisu sherpa track dan berperan dalam mem,"['pada', 'pelaksanaannya', 'mengoordinasikan', 'pembahasan', 'isuisu', 'sherpa', 'track', 'dan', 'berperan', 'dalam', 'mem']","['pelaksanaannya', 'mengoordinasikan', 'pembahasan', 'isuisu', 'sherpa', 'track', 'berperan', 'mem']","['laksana', 'koordinasi', 'bahas', 'isuisu', 'sherpa', 'track', 'peran', 'mem']"
100,pandemi covid telah menurunkan daya beli masyarakat pasalnya masyarakat telah mengurangi interaksi di luar ruangan,"['pandemi', 'covid', 'telah', 'menurunkan', 'daya', 'beli', 'masyarakat', 'pasalnya', 'masyarakat', 'telah', 'mengurangi', 'interaksi', 'di', 'luar', 'ruangan']","['pandemi', 'covid', 'menurunkan', 'daya', 'beli', 'masyarakat', 'pasalnya', 'masyarakat', 'mengurangi', 'interaksi', 'ruangan']","['pandemi', 'covid', 'turun', 'daya', 'beli', 'masyarakat', 'pasal', 'masyarakat', 'kurang', 'interaksi', 'ruang']"
101,pasar ekologi argowijil merupakan pasar tradisional yang memegang prinsip pengendalian pembangunan sektor pertambangan ,"['pasar', 'ekologi', 'argowijil', 'merupakan', 'pasar', 'tradisional', 'yang', 'memegang', 'prinsip', 'pengendalian', 'pembangunan', 'sektor', 'pertambangan']","['pasar', 'ekologi', 'argowijil', 'pasar', 'tradisional', 'memegang', 'prinsip', 'pengendalian', 'pembangunan', 'sektor', 'pertambangan']","['pasar', 'ekologi', 'argowijil', 'pasar', 'tradisional', 'pegang', 'prinsip', 'kendali', 'bangun', 'sektor', 'tambang']"
102,pembahasan isu melalui pertemuan sherpa track ini diharapkan dapat menghasilkan political declaration tingkat mente,"['pembahasan', 'isu', 'melalui', 'pertemuan', 'sherpa', 'track', 'ini', 'diharapkan', 'dapat', 'menghasilkan', 'political', 'declaration', 'tingkat', 'mente']","['pembahasan', 'isu', 'pertemuan', 'sherpa', 'track', 'diharapkan', 'menghasilkan', 'political', 'declaration', 'tingkat', 'mente']","['bahas', 'isu', 'temu', 'sherpa', 'track', 'harap', 'hasil', 'political', 'declaration', 'tingkat', 'mente']"
103,pembentukan pasar ekologis ini diinisiasi oleh melalui untuk memulihkan lokasi bekas tambang,"['pembentukan', 'pasar', 'ekologis', 'ini', 'diinisiasi', 'oleh', 'melalui', 'untuk', 'memulihkan', 'lokasi', 'bekas', 'tambang']","['pembentukan', 'pasar', 'ekologis', 'diinisiasi', 'memulihkan', 'lokasi', 'bekas', 'tambang']","['bentuk', 'pasar', 'ekologis', 'inisiasi', 'pulih', 'lokasi', 'bekas', 'tambang']"
104,pemerataan akses energi dinegara kepulauangindonesia dorongnkrilebihmaju,"['pemerataan', 'akses', 'energi', 'dinegara', 'kepulauangindonesia', 'dorongnkrilebihmaju']","['pemerataan', 'akses', 'energi', 'dinegara', 'kepulauangindonesia', 'dorongnkrilebihmaju']","['perata', 'akses', 'energi', 'negara', 'kepulauangindonesia', 'dorongnkrilebihmaju']"
105,pemerintah indonesia melalui forum  mendorong peningkatan aksesibilitas di negara kepulauangindonesia,"['pemerintah', 'indonesia', 'melalui', 'forum', 'mendorong', 'peningkatan', 'aksesibilitas', 'di', 'negara', 'kepulauangindonesia']","['pemerintah', 'indonesia', 'forum', 'mendorong', 'peningkatan', 'aksesibilitas', 'negara', 'kepulauangindonesia']","['perintah', 'indonesia', 'forum', 'dorong', 'tingkat', 'aksesibilitas', 'negara', 'kepulauangindonesia']"
